,feature,importance,importance_pct
1,sentiment_polarity,0.08990251972655708,8.990251972655708
2,exclam_count,0.02595957917840908,2.595957917840908
3,tfidf__love,0.02078333195275141,2.078333195275141
4,sentiment_subjectivity,0.01987169187751532,1.987169187751532
5,tfidf__perfect,0.019850578505421032,1.9850578505421033
6,tfidf__comfortable,0.018338521432673588,1.8338521432673587
7,review_length,0.017519601151792866,1.7519601151792865
8,tfidf__great,0.015180464516158043,1.5180464516158043
9,Age,0.014144194331528206,1.4144194331528206
10,tfidf__looked,0.014010231753463021,1.401023175346302
