Class Name,avg_rating,recommend_rate,review_count,avg_sentiment,avg_age,cluster
Blouses,4.142809252430439,0.8065705665437479,2983,0.25345492617306564,44.253771371102914,1
Dresses,4.138812042310822,0.8052074857607812,6145,0.2499766522624582,42.178519121236775,1
Fine gauge,4.237960339943343,0.8328611898016998,1059,0.24649675570759616,44.86496694995279,0
Intimates,4.27891156462585,0.8571428571428571,147,0.26385736387974146,38.87074829931973,0
Jackets,4.288433382137628,0.8433382137628112,683,0.24502478171458722,44.05710102489019,0
Jeans,4.3478260869565215,0.8795289855072463,1104,0.2513934748283089,43.156702898550726,0
Knits,4.14569822741029,0.8123648940769563,4626,0.2510291227128775,43.71768266320795,1
Layering,4.348484848484849,0.8787878787878788,132,0.2561866138799475,42.03030303030303,0
Legwear,4.246835443037975,0.8544303797468354,158,0.2601674961211155,41.62658227848101,0
Lounge,4.301943198804185,0.8579970104633782,669,0.2445456159060594,42.846038863976084,0
Outerwear,4.181818181818182,0.8119122257053292,319,0.22574907385290108,44.43887147335423,1
Pants,4.261481481481481,0.8325925925925926,1350,0.2448326685057633,44.16962962962963,0
Shorts,4.253289473684211,0.8388157894736842,304,0.24842968186980996,40.75986842105263,0
Skirts,4.229235880398671,0.8416389811738649,903,0.2576702301952404,42.59911406423034,0
Sleep,4.294392523364486,0.8551401869158879,214,0.25385069186673237,43.18691588785047,0
Sweaters,4.168840579710145,0.7971014492753623,1380,0.24476395438381784,45.19347826086957,1
Swim,4.171686746987952,0.7951807228915663,332,0.26682967115323164,38.234939759036145,0
Trend,3.8389830508474576,0.7457627118644068,118,0.20241496780568372,43.983050847457626,1
