theme,% of all negatives,% of all positives,% of 'High-Traffic Underperformers' negatives,% of other-tier negatives,negative lift (x)
Stated disappointment,21.702023896610584,3.4843581445523193,22.01195219123506,20.84481175390266,6.228413669398765
Return intent,22.33601560594977,4.676375404530744,22.742363877822044,21.21212121212121,4.776352126116595
Expectation mismatch,53.279687881004634,31.855447680690403,54.9136786188579,48.760330578512395,1.6725455694443376
Fabric & quality,49.67081199707388,34.83818770226537,50.39840637450199,47.658402203856745,1.4257576318714194
Fit & sizing,58.497927334796394,61.34843581445523,57.90172642762285,60.14692378328742,0.9535357594400609
